"","N","L","a","p","S","d","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","diam","cl","mu","te","si","apl"
"720",6,8,3.30831206542234,0.519277926724758,1.32966134885476,0.266666666666667,0,3,2,0,0,0,1,1,0,0,0,0,0,8,0,4,0.44397154729945,0.697550403807384,2.16
"721",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"722",10,11,1.77844657658769,0.721405772461847,0.89794572485678,0.122222222222222,0,5,1,0,0,0,2,0,0,0,0,0,0,10,0,4,0.0543564443199596,0.473684210526316,3.5531914893617
"723",16,15,1.68519778982633,0.819861407986192,0.376770161256437,0.0625,0,14,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5.66666666666667
"724",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"725",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,2,0,0,1
"726",5,5,Inf,1,0,0.25,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2.5
"727",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"728",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
"729",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,2,0,0,1
"730",8,8,2.25574890974031,0.765763173908239,0.735621939758795,0.142857142857143,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0.0739590973227909,0,2.93103448275862
"731",5,5,3.04803825991038,0.765763173908239,0.950270539233235,0.25,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.162255624891827,0,2.125
"732",3,4,2.92359338785195,0.819861407986192,0.636514168294813,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0.333333333333333,0.444444444444444,1.33333333333333
"733",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"734",187,189,1.54213091331492,0.91347551349969,0.125641984067956,0.00543384509228912,3,193,0,2,0,0,0,0,0,0,0,0,0,166,0,0,0.0125544084126538,0.522564389697648,58.3430091099417
"735",9,12,2.15627127033194,0.765763173908239,0.683738905848754,0.166666666666667,1,10,3,1,0,0,3,0,0,0,0,0,0,7,0,4,0.216578167269907,1.46404907455484,3
"736",24,24,1.60197936944287,0.96825783056338,0.456334432293288,0.0434782608695652,1,25,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0.0123946770383037,0.571125265392781,9.70246085011186
"737",6,5,2.92359338785195,0.819861407986192,0.636514168294813,0.166666666666667,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2.33333333333333
"738",10,12,2.2877747340219,0.91347551349969,1.08889997534522,0.133333333333333,0,10,2,1,0,0,2,0,0,0,0,0,0,8,0,2,0.19704562720685,1.39490903673541,3.23287671232877
"739",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
